,모델,Recall,Precision
408,피크 직접분류,0.9807692307692307,0.1760644418872267
409,피크 직접분류,0.9807692307692307,0.17626728110599077
410,피크 직접분류,0.9807692307692307,0.17647058823529413
411,피크 직접분류,0.9807692307692307,0.1766743648960739
412,피크 직접분류,0.9807692307692307,0.176878612716763
413,피크 직접분류,0.9807692307692307,0.17708333333333334
414,피크 직접분류,0.9807692307692307,0.1772885283893395
415,피크 직접분류,0.9807692307692307,0.17749419953596288
416,피크 직접분류,0.9807692307692307,0.17770034843205576
417,피크 직접분류,0.9807692307692307,0.17790697674418604
418,피크 직접분류,0.9807692307692307,0.1781140861466822
419,피크 직접분류,0.9807692307692307,0.17832167832167833
420,피크 직접분류,0.9807692307692307,0.17852975495915985
421,피크 직접분류,0.9807692307692307,0.17873831775700935
422,피크 직접분류,0.9807692307692307,0.17894736842105263
423,피크 직접분류,0.9807692307692307,0.1791569086651054
424,피크 직접분류,0.9807692307692307,0.17936694021101993
425,피크 직접분류,0.9807692307692307,0.1795774647887324
426,피크 직접분류,0.9807692307692307,0.1797884841363102
427,피크 직접분류,0.9807692307692307,0.18
428,피크 직접분류,0.9807692307692307,0.18021201413427562
429,피크 직접분류,0.9807692307692307,0.1804245283018868
430,피크 직접분류,0.9807692307692307,0.1806375442739079
431,피크 직접분류,0.9807692307692307,0.18085106382978725
432,피크 직접분류,0.9807692307692307,0.18106508875739644
433,피크 직접분류,0.9807692307692307,0.18127962085308058
434,피크 직접분류,0.9807692307692307,0.18149466192170818
435,피크 직접분류,0.9807692307692307,0.18171021377672208
436,피크 직접분류,0.9807692307692307,0.18192627824019025
437,피크 직접분류,0.9807692307692307,0.18214285714285713
438,피크 직접분류,0.9807692307692307,0.18235995232419547
439,피크 직접분류,0.9807692307692307,0.18257756563245822
440,피크 직접분류,0.9743589743589743,0.1816009557945042
441,피크 직접분류,0.9743589743589743,0.18181818181818182
442,피크 직접분류,0.9743589743589743,0.18203592814371258
443,피크 직접분류,0.9743589743589743,0.18225419664268586
444,피크 직접분류,0.9743589743589743,0.18247298919567828
445,피크 직접분류,0.9743589743589743,0.18269230769230768
446,피크 직접분류,0.9743589743589743,0.1829121540312876
447,피크 직접분류,0.9743589743589743,0.18313253012048192
448,피크 직접분류,0.9743589743589743,0.18335343787696018
449,피크 직접분류,0.9743589743589743,0.18357487922705315
450,피크 직접분류,0.9743589743589743,0.1837968561064087
451,피크 직접분류,0.9743589743589743,0.18401937046004843
452,피크 직접분류,0.9743589743589743,0.18424242424242424
453,피크 직접분류,0.9743589743589743,0.18446601941747573
454,피크 직접분류,0.9743589743589743,0.18469015795868773
455,피크 직접분류,0.9743589743589743,0.18491484184914841
456,피크 직접분류,0.9743589743589743,0.1851400730816078
457,피크 직접분류,0.9743589743589743,0.18536585365853658
458,피크 직접분류,0.9743589743589743,0.1855921855921856
459,피크 직접분류,0.9743589743589743,0.18581907090464547
460,피크 직접분류,0.9743589743589743,0.18604651162790697
461,피크 직접분류,0.9743589743589743,0.18627450980392157
462,피크 직접분류,0.9743589743589743,0.18650306748466258
463,피크 직접분류,0.9743589743589743,0.18673218673218672
464,피크 직접분류,0.9743589743589743,0.18696186961869618
465,피크 직접분류,0.9743589743589743,0.18719211822660098
466,피크 직접분류,0.9743589743589743,0.187422934648582
467,피크 직접분류,0.9743589743589743,0.18765432098765433
468,피크 직접분류,0.9743589743589743,0.18788627935723115
469,피크 직접분류,0.9743589743589743,0.18811881188118812
470,피크 직접분류,0.9743589743589743,0.18835192069392812
471,피크 직접분류,0.9743589743589743,0.18858560794044665
472,피크 직접분류,0.9743589743589743,0.18881987577639753
473,피크 직접분류,0.9743589743589743,0.1890547263681592
474,피크 직접분류,0.9743589743589743,0.18929016189290163
475,피크 직접분류,0.9743589743589743,0.18952618453865336
476,피크 직접분류,0.9743589743589743,0.18976279650436953
477,피크 직접분류,0.9743589743589743,0.19
478,피크 직접분류,0.9743589743589743,0.1902377972465582
479,피크 직접분류,0.9743589743589743,0.19047619047619047
480,피크 직접분류,0.9743589743589743,0.19071518193224593
481,피크 직접분류,0.9743589743589743,0.19095477386934673
482,피크 직접분류,0.9743589743589743,0.19119496855345913
483,피크 직접분류,0.9743589743589743,0.19143576826196473
484,피크 직접분류,0.9743589743589743,0.19167717528373265
485,피크 직접분류,0.9743589743589743,0.1919191919191919
486,피크 직접분류,0.9743589743589743,0.19216182048040456
487,피크 직접분류,0.9743589743589743,0.19240506329113924
488,피크 직접분류,0.9743589743589743,0.1926489226869455
489,피크 직접분류,0.9743589743589743,0.19289340101522842
490,피크 직접분류,0.9743589743589743,0.193138500635324
491,피크 직접분류,0.9743589743589743,0.19338422391857507
492,피크 직접분류,0.9743589743589743,0.19363057324840766
493,피크 직접분류,0.9743589743589743,0.19387755102040816
494,피크 직접분류,0.9743589743589743,0.194125159642401
495,피크 직접분류,0.9743589743589743,0.19437340153452684
496,피크 직접분류,0.9743589743589743,0.1946222791293214
497,피크 직접분류,0.9743589743589743,0.19487179487179487
498,피크 직접분류,0.9743589743589743,0.1951219512195122
499,피크 직접분류,0.9743589743589743,0.1953727506426735
500,피크 직접분류,0.9743589743589743,0.1956241956241956
501,피크 직접분류,0.9743589743589743,0.1958762886597938
502,피크 직접분류,0.9743589743589743,0.19612903225806452
503,피크 직접분류,0.9743589743589743,0.19638242894056848
504,피크 직접분류,0.9743589743589743,0.19663648124191463
505,피크 직접분류,0.9743589743589743,0.19689119170984457
506,피크 직접분류,0.9743589743589743,0.19714656290531776
507,피크 직접분류,0.9743589743589743,0.1974025974025974
508,피크 직접분류,0.9743589743589743,0.1976592977893368
509,피크 직접분류,0.9743589743589743,0.19791666666666666
510,피크 직접분류,0.9743589743589743,0.1981747066492829
511,피크 직접분류,0.9743589743589743,0.19843342036553524
512,피크 직접분류,0.9743589743589743,0.19869281045751633
513,피크 직접분류,0.9743589743589743,0.19895287958115182
514,피크 직접분류,0.9743589743589743,0.19921363040629095
515,피크 직접분류,0.9743589743589743,0.1994750656167979
516,피크 직접분류,0.9743589743589743,0.19973718791064388
517,피크 직접분류,0.9743589743589743,0.2
518,피크 직접분류,0.9743589743589743,0.2002635046113307
519,피크 직접분류,0.9743589743589743,0.20052770448548812
520,피크 직접분류,0.9743589743589743,0.20079260237780713
521,피크 직접분류,0.9743589743589743,0.20105820105820105
522,피크 직접분류,0.9743589743589743,0.20132450331125828
523,피크 직접분류,0.9743589743589743,0.20159151193633953
